Log_name	Pos	Event_type	Server_id	End_log_pos	Info
mysql-bin.000002	2914746	Write_rows	1	2914832	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2914832	Table_map	1	2914913	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2914913	Write_rows	1	2915002	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2915002	Table_map	1	2915061	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2915061	Write_rows	1	2915102	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2915102	Table_map	1	2915169	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2915169	Write_rows	1	2915232	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2915232	Table_map	1	2915301	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2915301	Write_rows	1	2915370	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2915370	Table_map	1	2915451	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2915451	Write_rows	1	2915540	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2915540	Table_map	1	2915599	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2915599	Write_rows	1	2915640	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2915640	Table_map	1	2915707	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2915707	Write_rows	1	2915766	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2915766	Table_map	1	2915835	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2915835	Write_rows	1	2915938	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2915938	Table_map	1	2916019	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2916019	Write_rows	1	2916148	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2916148	Table_map	1	2916207	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2916207	Write_rows	1	2916248	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2916248	Table_map	1	2916315	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2916315	Write_rows	1	2916375	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2916375	Table_map	1	2916444	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2916444	Write_rows	1	2916581	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2916581	Table_map	1	2916662	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2916662	Write_rows	1	2916791	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2916791	Table_map	1	2916850	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2916850	Write_rows	1	2916891	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2916891	Table_map	1	2916958	table_id: 105 (mysql.time_zone_name)
